"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001099999","2024-12-01","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.2","10","  25.5","10","1016.8","10","015.6","10","  9.3"," 4","  3.7","10","  5.8"," 18.6","  33.1"," ","  29.8"," "," 0.02","G","999.9","001000"
"01001099999","2024-12-02","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  33.5"," 9","  27.0"," 9","1017.6"," 9","016.4"," 9"," 13.2"," 4"," 14.2"," 9"," 19.4"," 22.3","  35.2"," ","  30.7"," "," 0.02","G","999.9","001000"
"01001099999","2024-12-03","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  32.3"," 9","  25.6"," 9","1024.4"," 9","023.2"," 9","  7.1"," 4"," 17.1"," 9"," 23.3"," 29.5","  34.0"," ","  30.9"," "," 0.01","G","999.9","011000"
"01001099999","2024-12-04","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  33.2"," 8","  25.0"," 8","1024.5"," 8","023.3"," 8"," 33.4"," 4","  6.8"," 8"," 15.5"," 26.2","  36.1"," ","  31.1"," "," 0.00","G","999.9","000000"
"01001099999","2024-12-05","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  32.9"," 8","  26.4"," 8","1027.0"," 8","025.8"," 8"," 14.8"," 4","  6.7"," 8"," 17.5","999.9","  35.2"," ","  30.6"," "," 0.00","G","999.9","000000"
"01001099999","2024-12-06","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.6"," 8","  24.6"," 8","1029.5"," 8","028.3"," 8"," 13.2"," 4","  9.7"," 8"," 11.7"," 15.7","  32.7"," ","  30.7"," "," 0.04","G","999.9","001000"
"01001099999","2024-12-07","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  30.8"," 8","  23.5"," 8","1027.5"," 8","026.3"," 8"," 17.1"," 4","  6.3"," 8","  7.8"," 12.2","  31.6"," ","  29.8"," "," 0.00","G","999.9","000000"
"01001099999","2024-12-08","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  33.1"," 8","  27.6"," 8","1024.1"," 8","022.9"," 8"," 10.3"," 4"," 16.5"," 8"," 21.4","999.9","  36.3"," ","  28.6"," "," 0.03","G","999.9","001000"
"01001099999","2024-12-09","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  35.5"," 9","  31.2"," 9","1013.4"," 9","012.2"," 9","  8.1"," 4"," 17.4"," 9"," 22.3"," 33.0","  36.7"," ","  34.2"," "," 0.02","G","999.9","010000"
"01001099999","2024-12-10","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  32.0"," 9","  25.7"," 9","1003.3"," 9","002.1"," 9","  5.6"," 4"," 25.5"," 9"," 34.0"," 51.1","  36.5"," ","  29.5"," "," 0.05","G","999.9","001000"
"01001099999","2024-12-11","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.1"," 8","  27.6"," 8"," 990.0"," 8","988.8"," 8","  1.7"," 4"," 30.4"," 8"," 36.9"," 54.2","  32.2"," ","  29.5"," "," 0.17","G","999.9","001000"
"01001099999","2024-12-12","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.2"," 9","  28.8"," 9"," 988.5"," 9","987.3"," 9","  1.4"," 4"," 21.3"," 9"," 32.2"," 50.1","  33.4"," ","  29.1"," "," 0.19","G","999.9","001000"
"01001099999","2024-12-13","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  33.3"," 9","  31.2"," 9"," 997.4"," 9","996.2"," 9","  2.8"," 4"," 16.3"," 9"," 22.9"," 32.8","  34.9"," ","  31.8"," "," 0.26","G","999.9","011000"
"01001099999","2024-12-14","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.9","11","  28.7","11","1007.1","11","005.9","11","  3.0"," 4"," 15.5","11"," 19.8"," 31.1","  34.2"," ","  30.2"," "," 0.19","G","999.9","011000"
"01001099999","2024-12-15","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  30.6","11","  25.8","11","1008.5","11","007.3","11"," 14.0"," 4","  7.5","11"," 16.3"," 19.8","  33.4"," ","  29.5"," "," 0.06","G","999.9","000000"
"01001099999","2024-12-16","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  38.1"," 9","  35.7"," 9"," 997.3"," 9","996.2"," 9","  5.7"," 4"," 16.1"," 9"," 25.3","999.9","  41.4"," ","  30.4"," "," 0.00","G","999.9","010000"
"01001099999","2024-12-17","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  36.9","12","  35.9","12"," 986.9","12","985.8","12","  3.2"," 4","  7.7","12"," 26.0"," 34.2","  40.8"," ","  34.7"," "," 1.36","G","999.9","100000"
"01001099999","2024-12-18","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  34.0"," 9","  31.8"," 9"," 995.6"," 9","994.4"," 9","  7.3"," 4"," 15.7"," 9"," 23.3"," 27.8","  37.0"," ","  32.7"," "," 0.03","G","999.9","010000"
"01001099999","2024-12-19","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  40.6"," 9","  39.9"," 9"," 987.8"," 9","986.7"," 9","  1.1"," 4"," 13.4"," 9"," 27.6"," 38.1","  42.3"," ","  34.3"," "," 0.59","G","999.9","010000"
"01001099999","2024-12-20","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  39.3"," 8","  38.8"," 8"," 990.1"," 8","989.0"," 8","  0.5"," 4"," 13.0"," 8"," 15.5"," 16.5","  41.0"," ","  38.3"," "," 0.33","G","999.9","010000"
"01001099999","2024-12-21","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  40.6"," 8","  39.2"," 8"," 983.8"," 8","982.7"," 8","  4.8"," 4","  8.6"," 8"," 12.0"," 19.6","  42.8"," ","  38.1"," "," 0.16","G","999.9","010000"
"01001099999","2024-12-22","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  36.3"," 8","  34.3"," 8"," 982.6"," 8","981.4"," 8","  5.2"," 4"," 22.9"," 8"," 27.2"," 38.1","  43.2"," ","  32.7"," "," 0.07","G","999.9","011000"
"01001099999","2024-12-23","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  31.6"," 8","  29.0"," 8"," 997.7"," 8","996.5"," 8","  8.9"," 4"," 13.1"," 8"," 25.3","999.9","  33.8"," ","  29.8"," "," 1.13","G","999.9","000000"
"01001099999","2024-12-24","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  37.8"," 8","  35.4"," 8"," 985.4"," 7","984.3"," 7","  4.0"," 4"," 19.6"," 8"," 29.1","999.9","  42.4"," ","  31.1"," "," 0.02","G","999.9","010000"
"01001099999","2024-12-25","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  29.8"," 8","  23.7"," 8"," 993.1"," 8","991.9"," 8"," 14.8"," 4"," 15.8"," 8"," 37.3"," 52.6","  38.1"," ","  26.1"," "," 0.73","G","999.9","000000"
"01001099999","2024-12-26","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  37.6"," 7","  35.8"," 7"," 984.8"," 7","983.7"," 7","  7.0"," 4"," 13.4"," 7"," 22.1"," 28.9","  39.2"," ","  31.6"," "," 0.11","G","999.9","010000"
"01001099999","2024-12-27","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  29.3"," 8","  24.5"," 8"," 987.7"," 8","986.5"," 8","  4.3"," 4"," 19.9"," 8"," 31.1"," 46.2","  37.2"," ","  24.1"," "," 0.07","G","999.9","001000"
"01001099999","2024-12-28","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  25.7"," 9","  16.8"," 9","1004.0"," 9","002.8"," 9"," 10.9"," 4","  9.5"," 9"," 15.5"," 31.1","  26.6"," ","  23.4"," "," 0.06","G","999.9","000000"
