"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"12205099999","1935-01-01","53.4","14.6166666","7.0","SZCZECIN, PL","  41.7"," 7","  40.3"," 7","1014.0"," 7","999.9"," 0","  2.5"," 7","  4.6"," 7","  5.1","999.9","  48.0"," ","  36.0","*"," 0.37","F","999.9","010000"
"12205099999","1935-01-02","53.4","14.6166666","7.0","SZCZECIN, PL","  39.1"," 8","  38.1"," 8","1020.1"," 8","999.9"," 0","  3.5"," 8","  5.7"," 8","  8.9","999.9","  41.0"," ","  36.0","*"," 0.06","F","999.9","010000"
"12205099999","1935-01-03","53.4","14.6166666","7.0","SZCZECIN, PL","  33.7"," 8","  30.9"," 8","1029.8"," 8","999.9"," 0"," 10.4"," 8","  5.3"," 8","  8.9","999.9","  36.0"," ","  32.0","*"," 0.02","E","999.9","000000"
"12205099999","1935-01-04","53.4","14.6166666","7.0","SZCZECIN, PL","  33.0"," 8","  30.4"," 8","1010.5"," 8","999.9"," 0","  7.0"," 8","  7.1"," 8"," 13.0","999.9","  34.0"," ","  30.0"," "," 0.24","E","999.9","111000"
"12205099999","1935-01-05","53.4","14.6166666","7.0","SZCZECIN, PL","  36.6"," 8","  35.6"," 8","1001.1"," 8","999.9"," 0","  2.4"," 8","  5.1"," 8","  5.1","999.9","  39.0"," ","  32.0"," "," 0.12","F","999.9","010000"
"12205099999","1935-01-06","53.4","14.6166666","7.0","SZCZECIN, PL","  35.1"," 8","  33.8"," 8","1008.9"," 8","999.9"," 0","  1.9"," 8","  7.5"," 8"," 13.0","999.9","  37.0","*","  32.0","*"," 0.06","F","999.9","010000"
"12205099999","1935-01-07","53.4","14.6166666","7.0","SZCZECIN, PL","  18.7"," 8","  15.3"," 8","1026.2"," 8","999.9"," 0","  5.3"," 8","  8.0"," 8"," 13.0","999.9","  27.0","*","  12.0","*"," 0.00","I","999.9","000000"
"12205099999","1935-01-08","53.4","14.6166666","7.0","SZCZECIN, PL","   8.9"," 8","   3.7"," 8","1032.4"," 8","999.9"," 0","  5.6"," 8","  6.1"," 8","  8.9","999.9","  14.0"," ","   3.0"," "," 0.02","E","999.9","001000"
"12205099999","1935-01-09","53.4","14.6166666","7.0","SZCZECIN, PL","  10.1"," 8","   5.6"," 8","1033.3"," 8","999.9"," 0"," 18.5"," 8","  5.1"," 8","  8.9","999.9","  14.0"," ","   5.0","*"," 0.05","F","999.9","001000"
"12205099999","1935-01-10","53.4","14.6166666","7.0","SZCZECIN, PL","  14.9"," 8","  11.5"," 8","1033.9"," 8","999.9"," 0","  7.3"," 8","  2.1"," 8","  5.1","999.9","  21.0","*","   3.0"," "," 0.05","F","999.9","001000"
