city,year,weekofyear,total_cases
city,year,weekofyear,total_cases
sj,2004,1,136
sj,2004,2,132
sj,2004,3,128
sj,2004,4,124
sj,2004,5,120
sj,2004,6,116
sj,2004,7,112
sj,2004,8,108
sj,2004,9,104
sj,2004,10,90
sj,2004,11,86
sj,2004,12,82
sj,2004,13,78
sj,2004,14,74
sj,2004,15,70
sj,2004,16,66
sj,2004,17,62
sj,2004,18,58
sj,2004,19,54
sj,2004,20,40
sj,2004,21,36
sj,2004,22,32
sj,2004,23,28
sj,2004,24,24
sj,2004,25,20
sj,2004,26,16
sj,2004,27,22
sj,2004,28,28
sj,2004,29,34
sj,2004,30,30
sj,2004,31,36
sj,2004,32,42
sj,2004,33,48
sj,2004,34,54
sj,2004,35,60
sj,2004,36,66
sj,2004,37,72
sj,2004,38,78
sj,2004,39,84
sj,2004,40,80
sj,2004,41,86
sj,2004,42,92
sj,2004,43,98
sj,2004,44,104
sj,2004,45,110
sj,2004,46,116
sj,2004,47,122
sj,2004,48,128
sj,2004,49,134
sj,2004,50,130
sj,2004,51,136
sj,2004,52,142
sj,2005,1,138
sj,2005,2,134
sj,2005,3,130
sj,2005,4,126
sj,2005,5,122
sj,2005,6,118
sj,2005,7,114
sj,2005,8,110
sj,2005,9,106
sj,2005,10,92
sj,2005,11,88
sj,2005,12,84
sj,2005,13,80
sj,2005,14,76
sj,2005,15,72
sj,2005,16,68
sj,2005,17,64
sj,2005,18,60
sj,2005,19,56
sj,2005,20,42
sj,2005,21,38
sj,2005,22,34
sj,2005,23,30
sj,2005,24,26
sj,2005,25,22
sj,2005,26,18
sj,2005,27,24
sj,2005,28,30
sj,2005,29,36
sj,2005,30,32
sj,2005,31,38
sj,2005,32,44
sj,2005,33,50
sj,2005,34,56
sj,2005,35,62
sj,2005,36,68
sj,2005,37,74
sj,2005,38,80
sj,2005,39,86
sj,2005,40,82
sj,2005,41,88
sj,2005,42,94
sj,2005,43,100
sj,2005,44,106
sj,2005,45,112
sj,2005,46,118
sj,2005,47,124
sj,2005,48,130
sj,2005,49,136
sj,2005,50,132
sj,2005,51,138
sj,2005,52,144
sj,2006,1,140
sj,2006,2,136
sj,2006,3,132
sj,2006,4,128
sj,2006,5,124
sj,2006,6,120
sj,2006,7,116
sj,2006,8,112
sj,2006,9,108
sj,2006,10,94
sj,2006,11,90
sj,2006,12,86
sj,2006,13,82
sj,2006,14,78
sj,2006,15,74
sj,2006,16,70
sj,2006,17,66
sj,2006,18,62
sj,2006,19,58
sj,2006,20,44
sj,2006,21,40
sj,2006,22,36
sj,2006,23,32
sj,2006,24,28
sj,2006,25,24
sj,2006,26,20
sj,2006,27,26
sj,2006,28,32
sj,2006,29,38
sj,2006,30,34
sj,2006,31,40
sj,2006,32,46
sj,2006,33,52
sj,2006,34,58
sj,2006,35,64
sj,2006,36,70
sj,2006,37,76
sj,2006,38,82
sj,2006,39,88
sj,2006,40,84
sj,2006,41,90
sj,2006,42,96
sj,2006,43,102
sj,2006,44,108
sj,2006,45,114
sj,2006,46,120
sj,2006,47,126
sj,2006,48,132
sj,2006,49,138
sj,2006,50,134
sj,2006,51,140
sj,2006,52,146
sj,2007,1,142
sj,2007,2,138
sj,2007,3,134
sj,2007,4,130
sj,2007,5,126
sj,2007,6,122
sj,2007,7,118
sj,2007,8,114
sj,2007,9,110
sj,2007,10,96
sj,2007,11,92
sj,2007,12,88
sj,2007,13,84
sj,2007,14,80
sj,2007,15,76
sj,2007,16,72
sj,2007,17,68
sj,2007,18,64
sj,2007,19,60
sj,2007,20,46
sj,2007,21,42
sj,2007,22,38
sj,2007,23,34
sj,2007,24,30
sj,2007,25,26
