city,year,weekofyear,total_cases
sj,2004,18,4
sj,2004,19,5
sj,2004,20,4
sj,2004,21,3
sj,2004,22,6
sj,2004,23,2
sj,2004,24,4
sj,2004,25,5
sj,2004,26,10
sj,2004,27,6
sj,2004,28,8
sj,2004,29,2
sj,2004,30,6
sj,2004,31,17
sj,2004,32,23
sj,2004,33,13
sj,2004,34,21
sj,2004,35,28
sj,2004,36,24
sj,2004,37,20
sj,2004,38,40
sj,2004,39,27
sj,2004,40,42
sj,2004,41,33
sj,2004,42,43
sj,2004,43,37
sj,2004,44,57
sj,2004,45,71
sj,2004,46,44
sj,2004,47,56
sj,2004,48,53
sj,2004,49,52
sj,2004,50,47
sj,2004,51,26
sj,2004,52,27
sj,2005,1,21
sj,2005,2,21
sj,2005,3,26
sj,2005,4,34
sj,2005,5,37
sj,2005,6,17
sj,2005,7,19
sj,2005,8,25
sj,2005,9,18
sj,2005,10,21
sj,2005,11,17
sj,2005,12,17
sj,2005,13,16
sj,2005,14,16
sj,2005,15,15
sj,2005,16,23
sj,2005,17,16
sj,2005,18,17
sj,2005,19,12
sj,2005,20,17
sj,2005,21,10
sj,2005,22,15
sj,2005,23,19
sj,2005,24,21
sj,2005,25,14
sj,2005,26,18
sj,2005,27,13
sj,2005,28,14
sj,2005,29,18
sj,2005,30,23
sj,2005,31,25
sj,2005,32,62
sj,2005,33,60
sj,2005,34,76
sj,2005,35,66
sj,2005,36,64
sj,2005,37,68
sj,2005,38,89
sj,2005,39,92
sj,2005,40,140
sj,2005,41,116
sj,2005,42,142
sj,2005,43,129
sj,2005,44,140
sj,2005,45,140
sj,2005,46,127
sj,2005,47,129
sj,2005,48,169
sj,2005,49,141
sj,2005,50,108
sj,2005,51,78
sj,2005,52,70
sj,2006,1,81
sj,2006,2,104
sj,2006,3,90
sj,2006,4,85
sj,2006,5,55
sj,2006,6,53
sj,2006,7,65
sj,2006,8,33
sj,2006,9,38
sj,2006,10,59
sj,2006,11,40
sj,2006,12,37
sj,2006,13,29
sj,2006,14,30
sj,2006,15,30
sj,2006,16,28
sj,2006,17,23
sj,2006,18,24
sj,2006,19,29
sj,2006,20,26
sj,2006,21,23
sj,2006,22,20
sj,2006,23,19
sj,2006,24,20
sj,2006,25,26
sj,2006,26,29
sj,2006,27,31
sj,2006,28,28
sj,2006,29,26
sj,2006,30,32
sj,2006,31,35
sj,2006,32,33
sj,2006,33,30
sj,2006,34,52
sj,2006,35,59
sj,2006,36,67
sj,2006,37,65
sj,2006,38,74
sj,2006,39,70
sj,2006,40,61
sj,2006,41,53
sj,2006,42,76
sj,2006,43,61
sj,2006,44,57
sj,2006,45,44
sj,2006,46,34
sj,2006,47,47
sj,2006,48,60
sj,2006,49,60
sj,2006,50,53
sj,2006,51,36
sj,2006,52,31
sj,2007,53,30
sj,2007,1,32
sj,2007,2,28
sj,2007,3,33
sj,2007,4,33
sj,2007,5,35
sj,2007,6,22
sj,2007,7,13
sj,2007,8,13
sj,2007,9,21
sj,2007,10,17
sj,2007,11,11
sj,2007,12,8
sj,2007,13,8
sj,2007,14,6
sj,2007,15,6
sj,2007,16,7
sj,2007,17,12
sj,2007,18,17
sj,2007,19,10
sj,2007,20,10
sj,2007,21,18
sj,2007,22,19
sj,2007,23,12
sj,2007,24,22
sj,2007,25,12
sj,2007,26,21
sj,2007,27,18
sj,2007,28,16
sj,2007,29,16
sj,2007,30,22
sj,2007,31,17
sj,2007,32,25
sj,2007,33,23
sj,2007,34,12
sj,2007,35,25
sj,2007,36,28
sj,2007,37,27
sj,2007,38,18
sj,2007,39,23
sj,2007,40,23
sj,2007,41,29
sj,2007,42,38
sj,2007,43,36
sj,2007,44,43
sj,2007,45,46
sj,2007,46,31
sj,2007,47,25
sj,2007,48,40
sj,2007,49,31
sj,2007,50,38
sj,2007,51,30
sj,2008,52,22
sj,2008,1,31
sj,2008,2,26
sj,2008,3,35
sj,2008,4,36
sj,2008,5,39
sj,2008,6,25
sj,2008,7,31
sj,2008,8,37
sj,2008,9,33
sj,2008,10,25
sj,2008,11,24
sj,2008,12,18
sj,2008,13,23
sj,2008,14,13
sj,2008,15,18
sj,2008,16,14
sj,2008,17,17
sj,2008,18,22
sj,2008,19,13
sj,2008,20,24
sj,2008,21,31
sj,2008,22,34
sj,2008,23,31
sj,2008,24,31
